"","file_name_append","text","language","word","file_copy"
"218","492818_blockNr_1_taskNr_6_trialNr_6_english_recording","peef","english","p_i","492818"
"219","492818_blockNr_1_taskNr_6_trialNr_10_english_recording","poof","english","p_u","492818"
"220","492818_blockNr_1_taskNr_6_trialNr_12_english_recording","peef","english","p_i","492818"
"221","492818_blockNr_1_taskNr_6_trialNr_16_english_recording","puff","english","p_schwa","492818"
"222","492818_blockNr_1_taskNr_6_trialNr_18_english_recording","poff","english","p_o","492818"
"223","492818_blockNr_1_taskNr_6_trialNr_19_english_recording","poof","english","p_u","492818"
"224","492818_blockNr_1_taskNr_6_trialNr_20_english_recording","poff","english","p_o","492818"
"225","492818_blockNr_1_taskNr_6_trialNr_21_english_recording","peef","english","p_i","492818"
"226","492818_blockNr_1_taskNr_6_trialNr_22_english_recording","puff","english","p_schwa","492818"
"227","492818_blockNr_1_taskNr_6_trialNr_23_english_recording","poff","english","p_o","492818"
"228","492818_blockNr_1_taskNr_6_trialNr_24_english_recording","puff","english","p_schwa","492818"
"229","492818_blockNr_1_taskNr_7_trialNr_3_spanish_recording","pof","spanish","p_o","492818"
"230","492818_blockNr_1_taskNr_7_trialNr_6_spanish_recording","paf","spanish","p_a","492818"
"231","492818_blockNr_1_taskNr_7_trialNr_7_spanish_recording","pif","spanish","p_i","492818"
"232","492818_blockNr_1_taskNr_7_trialNr_10_spanish_recording","pif","spanish","p_i","492818"
"233","492818_blockNr_1_taskNr_7_trialNr_11_spanish_recording","puf","spanish","p_u","492818"
"234","492818_blockNr_1_taskNr_7_trialNr_12_spanish_recording","pof","spanish","p_o","492818"
"235","492818_blockNr_1_taskNr_7_trialNr_14_spanish_recording","paf","spanish","p_a","492818"
"236","492818_blockNr_1_taskNr_7_trialNr_15_spanish_recording","puf","spanish","p_u","492818"
"237","492818_blockNr_1_taskNr_7_trialNr_17_spanish_recording","pif","spanish","p_i","492818"
"238","492818_blockNr_1_taskNr_7_trialNr_18_spanish_recording","paf","spanish","p_a","492818"
"239","492818_blockNr_1_taskNr_7_trialNr_20_spanish_recording","puf","spanish","p_u","492818"
"240","492818_blockNr_1_taskNr_7_trialNr_22_spanish_recording","pof","spanish","p_o","492818"
"241","492821_blockNr_1_taskNr_3_trialNr_1_french_recording","puf","french","p_u","492821"
"242","492821_blockNr_1_taskNr_3_trialNr_2_french_recording","pof","french","p_o","492821"
"243","492821_blockNr_1_taskNr_3_trialNr_3_french_recording","pof","french","p_o","492821"
"244","492821_blockNr_1_taskNr_3_trialNr_5_french_recording","puf","french","p_u","492821"
"245","492821_blockNr_1_taskNr_3_trialNr_6_french_recording","paf","french","p_schwa","492821"
"246","492821_blockNr_1_taskNr_3_trialNr_8_french_recording","pif","french","p_i","492821"
"247","492821_blockNr_1_taskNr_3_trialNr_11_french_recording","paf","french","p_schwa","492821"
"248","492821_blockNr_1_taskNr_3_trialNr_15_french_recording","pif","french","p_i","492821"
"249","492821_blockNr_1_taskNr_3_trialNr_17_french_recording","pof","french","p_o","492821"
"250","492821_blockNr_1_taskNr_3_trialNr_18_french_recording","paf","french","p_schwa","492821"
"251","492821_blockNr_1_taskNr_3_trialNr_21_french_recording","puf","french","p_u","492821"
"252","492821_blockNr_1_taskNr_3_trialNr_22_french_recording","pif","french","p_i","492821"
"253","492821_blockNr_1_taskNr_4_trialNr_2_German_recording","pof","German","p_o","492821"
"254","492821_blockNr_1_taskNr_4_trialNr_3_German_recording","pif","German","p_i","492821"
"255","492821_blockNr_1_taskNr_4_trialNr_7_German_recording","puf","German","p_u","492821"
"256","492821_blockNr_1_taskNr_4_trialNr_8_German_recording","pof","German","p_o","492821"
