"","X","participant","stim","word","language","stim_language","rating","phoneme","frame","language_num"
"231",231,"5c2fae74d76cde0001c11590","stim/fif_f.wav","feel","eng","french",4.123786644,"i","fricative",1
"232",232,"5c2fae74d76cde0001c11590","stim/f_schwa_f.wav","fun","eng","french",3.523240831,"schwa","fricative",1
"233",233,"5c2fae74d76cde0001c11590","stim/fof_f.wav","fun","eng","french",3.945079662,"o","fricative",1
"234",234,"5c2fae74d76cde0001c11590","stim/pof_f.wav","fun","eng","french",3.889564797,"o","bilabial",1
"235",235,"5c2fae74d76cde0001c11590","stim/fif_f.wav","feel","eng","french",4.171735693,"i","fricative",1
"236",236,"5c2fae74d76cde0001c11590","stim/pif_f.wav","feel","eng","french",4.129050926,"i","bilabial",1
"237",237,"5c2fae74d76cde0001c11590","stim/f_schwa_f.wav","fun","eng","french",3.383475692,"schwa","fricative",1
"238",238,"5c2fae74d76cde0001c11590","stim/p_schwa_f.wav","fun","eng","french",3.651233532,"schwa","bilabial",1
"239",239,"5c2fae74d76cde0001c11590","stim/peuf_f.wav","su","span","french",3.602641635,"y","bilabial",0
"240",240,"5c2fae74d76cde0001c11590","stim/feuf_f.wav","su","span","french",3.990284955,"y","fricative",0
"241",241,"5dc483cf74939e34e55c3619","stim/pif_f.wav","fought","eng","french",2.205954861,"i","bilabial",1
"242",242,"5dc483cf74939e34e55c3619","stim/p_schwa_f.wav","fun","eng","french",1.928298611,"schwa","bilabial",1
"243",243,"5dc483cf74939e34e55c3619","stim/fif_f.wav","feel","eng","french",3.203784722,"i","fricative",1
